page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
einschulbereiche-geometrien-berlin-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,24,22,19,138
verbraucherpreisindex-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,19,10,19,68
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,52,28,24,23,22,21,19,33,22,40,30,27,22,19,419
schutzgebiete-nach-naturschutzrecht-inklusive-natura-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005,,,,,,,,,,,1,1,19,13,15,5,9,14,22,28,12,10,3,9,14,18,9,2,6,10,13,15,6,3,19,11,11,16,8,20,24,4,11,10,7,11,25,26,14,26,19,21,20,12,11,14,9,14,8,8,15,19,670
brandenburger-straßen-und-volksfeste-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,13,18,60
daten-zur-arbeitslosigkeit-für-opendata-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,20,19,30,24,19,9,25,74,28,17,7,13,6,2,5,18,385
denkmalliste-des-landes-berlin,20,44,83,29,23,35,24,34,14,21,9,7,10,23,14,9,6,17,13,9,3,7,9,9,10,7,10,13,8,7,22,10,9,6,10,6,10,7,7,6,3,18,13,5,1,7,4,16,14,4,2,8,44,14,32,17,8,29,7,8,12,18,904
verkehrsbedingte-luftbelastung-im-straßenraum-2015-und-2020-umweltatlas-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,5,6,6,9,5,7,11,30,15,6,15,9,13,9,10,7,4,18,223
schutzgebiete-nach-naturschutzrecht-inklusive-natura-2000-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18
senatsvorlagen,,,,,,,,,,,27,31,4,4,11,4,10,15,4,7,9,9,15,11,6,6,13,15,23,11,18,36,10,15,12,12,9,10,9,5,8,9,19,15,11,11,13,20,10,21,23,11,13,14,16,14,18,13,11,10,7,17,675
tourismus-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,6,13,17,71
alkis-berlin-ortsteil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,15,11,29,20,12,24,4,22,19,17,205
postleitzahlen-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26,39,19,20,22,24,16,15,15,10,20,13,17,15,10,6,12,7,2,8,11,9,12,7,9,14,17,405
alkis-berlin-gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,20,18,17,70
straßenverzeichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,44,4,6,18,7,12,13,12,14,8,9,17,12,12,25,18,32,28,25,24,35,43,19,36,41,32,75,36,50,40,17,782
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,72,69,63,35,48,46,31,36,22,34,43,64,77,50,55,56,54,33,50,40,34,55,48,63,29,16,1275
energie-und-co2-bilanz-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,19,16,62
standorte-von-altglascontainern-auf-öffentlichem-straßenland-charlottenburg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,41,15,44,7,12,17,18,18,11,13,17,12,8,18,6,9,28,21,12,14,13,10,16,7,7,33,12,10,8,16,483
berliner-straßen-und-volksfeste-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,4,11,1,62,11,16,151
bsr-recyclinghöfe-und-abfall-abc,,,,,,46,24,14,17,14,19,19,17,14,5,10,10,5,57,16,5,14,11,14,8,7,51,23,7,7,6,6,3,8,9,5,5,10,,,,5,6,3,12,31,12,9,20,9,5,12,12,13,5,19,6,7,7,3,17,15,714
übersicht-über-wirtschaftsbereiche-branchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,42,25,6,9,15,19,17,16,18,12,11,11,9,14,22,8,13,11,7,14,15,388
vbb-fahrplandaten-dezember-2017-bis-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,187,21,17,13,14,381
dbpedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,9,6,9,4,5,11,10,3,5,8,6,7,4,1,6,1,1,4,2,5,3,7,1,2,7,5,3,4,,2,2,1,3,14,203
blockkarte-15000-isu5-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,15,20,17,18,39,22,17,12,13,24,8,12,12,11,7,10,9,8,17,11,9,11,7,4,27,14,389
20-grüne-hauptwege-koordinaten-für-spazier-und-wanderstrecken-mit-einer-gesamtlänge-von,42,60,60,41,32,29,33,36,16,34,30,24,26,25,33,43,45,18,29,17,10,24,20,17,29,19,21,16,18,21,14,49,9,18,26,11,10,20,6,9,4,5,15,3,6,13,12,19,13,8,6,4,6,8,12,4,5,5,3,2,9,14,1216
alkis-berlin-relief-geländekante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,14,28
vbb-fahrplandaten-mitte-januar-2018-bis-mitte-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,70,16,16,14,141
bezirke-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,16,12,14,58
kfz-kennzeichen-deutschland,26,50,43,25,29,21,28,26,11,19,22,30,16,33,24,78,75,21,17,44,17,12,17,14,19,16,14,19,10,7,5,5,5,8,10,80,21,48,50,31,23,18,26,9,6,10,6,10,7,4,15,12,20,8,18,26,9,14,10,23,22,14,1356
liste-der-häufigen-vornamen-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,105,119,60,43,72,84,92,66,45,70,80,73,32,189,33,13,14,16,18,16,7,23,32,23,23,14,16,13,1396
liste-der-badestellen-badegewäA4sserqualität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,8,11,3,11,13,61
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,78,84,53,47,75,57,54,50,49,57,42,34,31,13,781
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,8,7,4,7,16,31,18,23,21,37,13,13,205
straßen-und-volksfeste,,,,,,,,,,,,,,,,85,85,89,126,52,29,13,72,106,134,123,70,66,51,63,65,8,3,22,39,51,34,148,107,93,35,19,43,23,7,23,93,71,57,50,82,43,84,69,22,10,7,8,11,14,23,13,2541
emobility-ladestationen-berlin,,53,18,25,25,25,36,38,24,13,24,18,30,29,14,20,21,11,12,14,16,15,11,12,21,24,34,12,3,3,16,2,9,9,18,15,16,18,12,21,13,11,25,11,6,19,18,14,26,9,19,24,20,9,7,15,9,17,6,10,21,13,1059
baumbestand-berlin-straßenbäume-sachdaten-zur-karte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,8,5,7,18,14,5,6,,12,92
sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg,,,,,,,,,,,3,10,10,9,13,16,5,15,18,26,11,15,4,18,20,26,22,4,22,24,18,22,12,5,39,11,10,10,11,6,10,5,19,22,7,13,25,17,7,16,20,13,9,8,9,16,5,4,2,3,6,12,683
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,34,43,28,23,26,26,20,28,25,19,24,38,31,23,29,19,21,19,24,38,20,15,14,21,12,12,678
vbb-fahrplandaten-mitte-märz-2018-bis-mitte-dezember-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,12,58
webatlas-berlin-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,12,12,34
alkis-berlin-sw-amtliches-liegenschaftskatasterinformationssystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,24,12,67
alkis-berlin-gebäude-linien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,14,18,14,14,11,16,3,7,10,12,146
baumbestand-berlin-anlagenbäume-sachdaten-zur-karte-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12
karte-von-berlin-15000-k5-ausgabe-dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,12,54
doppelhaushalt-20182019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,6,13,9,12,91
teilverkehrszellen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,7,6,2,,2,,10,7,15,10,2,5,2,7,10,7,5,11,10,2,5,2,3,10,5,12,175
abschlussbericht-der-ag-open-data-berlin,,,,,,,,,,,,,44,18,42,34,24,11,9,7,2,4,7,5,3,2,5,10,13,2,7,9,3,4,5,5,2,3,,1,4,3,1,4,,1,5,,8,4,,2,4,1,4,48,24,48,23,19,12,11,507
dienstleistungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,25,6,5,6,1,2,11,87
geometrien-der-lor-bezirksregionen-berlins-stand-072012,,,26,57,20,23,25,19,19,26,22,12,7,30,29,43,19,22,39,22,13,29,8,11,1,3,10,10,10,5,15,16,10,20,16,5,,6,1,4,4,4,2,3,4,15,6,2,7,21,24,3,8,4,9,11,6,11,10,15,11,11,844
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,67,66,50,42,54,59,32,43,24,36,50,34,60,41,39,44,55,49,42,54,43,57,56,44,10,11,1200
ortsteile-von-berlin-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,14,4,8,3,7,13,22,16,24,13,19,10,9,8,13,7,11,213
detailnetz-straßenabschnitte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,14,21,17,21,10,9,7,4,10,14,19,13,15,9,8,5,5,18,3,10,,,,,,11,262
einwohnerdichte-2016-umweltatlas-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,11,34
vbb-fahrplan-2013,1181,814,445,196,196,174,220,140,87,54,37,36,91,52,39,27,36,20,36,22,32,29,23,18,28,36,35,29,15,30,75,42,19,15,24,23,26,31,16,27,18,13,10,22,8,16,8,28,6,13,10,8,16,10,10,11,8,4,9,5,15,11,4735
gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-ausgewählte-im,,,,,,,,,,,2,2,,1,,,4,3,,3,2,,1,3,,1,,1,1,,,,,4,2,,,,,,,,,,,,2,,,,,,,,,1,,,2,,,11,46
